name,rate_of_the_hotel,location_rating,comfort,staff,desk_24/7,rate_of_facilities,swimming_pool,bar,wifi,value_for_money,parking,Elevator,Cleanliness,Babysitting_Child_services,Sauna,pets,Wheelchair_accessible,safe,city,sum of facilities,sum of services
EasyInRome Navona,8.5,9.9,8.1,8.8,0,8.3,0,0,1,8.4,0,1,8.4,0,0,0,0,0,Rome,1,1
Residenza Maritti Decò Style,9.4,9.9,9.4,9.9,0,9.1,0,1,1,9.4,0,0,9.5,0,0,0,0,0,Rome,1,1
Al 7 Rooms,8.5,9.3,9.0,8.5,0,8.5,0,0,1,8.8,0,0,8.9,0,0,0,0,1,Rome,1,1
Fabio Massimo Guest House,8.9,9.4,9.1,9.2,0,8.8,0,1,1,8.9,0,0,9.2,0,0,1,0,1,Rome,2,2
B&B Amor,8.3,9.2,8.5,9.2,0,8.5,0,0,1,8.5,1,0,8.9,0,0,0,0,1,Rome,2,1
La Foresteria Luxury Suites,8.2,9.6,8.5,8.7,0,8.0,0,0,1,8.3,1,0,8.4,0,0,0,0,1,Rome,2,1
Penta Luxury House,8.8,9.3,9.0,9.4,0,8.7,0,0,1,8.8,0,0,9.1,0,0,0,0,1,Rome,1,1
Rest Guesthouse,9.0,9.4,9.2,9.1,0,9.1,0,0,1,8.8,0,0,9.2,0,0,0,0,1,Rome,1,1
White Ostilia Apartments,7.9,9.8,8.0,8.9,0,7.7,0,0,1,7.7,0,0,8.0,0,0,0,0,0,Rome,0,1
Marvellous apt near Vatican,9.4,9.6,9.5,9.7,0,9.2,0,0,1,9.2,1,1,9.1,0,0,0,0,0,Rome,2,1
4BNB - Otello,7.5,9.3,7.8,9.2,0,7.3,0,0,1,7.8,0,0,7.8,0,0,0,0,0,Rome,0,1
Corso Experience,8.6,9.8,8.6,9.4,0,8.4,0,0,1,8.4,1,0,8.8,0,0,0,0,1,Rome,2,1
Dimora Al 36,7.9,9.1,8.6,7.9,0,8.0,0,1,1,8.3,0,0,8.5,0,0,1,0,0,Rome,1,2
Big House Colosseum,9.4,9.7,9.4,9.7,0,9.1,0,1,1,9.4,0,0,9.5,0,0,0,0,0,Rome,1,1
TrastEver Holiday,8.5,9.4,8.7,9.4,0,8.4,0,0,1,8.7,0,0,8.8,0,0,1,0,1,Rome,1,2
Green Apartments Rome,9.1,9.5,9.2,9.8,0,9.0,0,0,1,9.1,1,0,9.2,1,0,1,0,0,Rome,1,3
Grey&White B&B,8.7,8.9,9.0,8.8,0,8.6,0,0,1,8.8,0,0,9.0,0,0,0,0,1,Rome,1,1
Old Kitchen Vatican Suites,9.0,9.7,9.2,9.6,0,9.1,0,0,1,9.3,0,0,9.4,0,0,0,0,1,Rome,1,1
Profumo Maison Colosseo,8.4,9.5,8.8,9.1,0,8.5,0,1,1,8.4,0,0,8.9,0,0,0,0,1,Rome,2,1
The voice of the moon,8.6,9.3,9.0,9.6,0,9.1,0,1,1,8.8,1,0,9.0,0,0,1,0,0,Rome,2,2
iFlat Clementina Top of the Hill,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,Rome,0,1
La Casetta di Manu' a San Pietro,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,1,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,Rome,0,1
iFlat Saint Peter Bright Apartment,8.8,9.3,9.1,8.6,0,9.1,0,0,1,9.1,0,0,8.9,0,0,0,0,0,Rome,0,1
Roma San Pietro - Le Grazie del Vaticano apartment,8.5,8.3,9.2,9.5,0,9.2,0,0,1,9.6,0,0,9.2,0,0,0,0,0,Rome,0,1
Domus Elena Apartment,9.6,9.3,9.7,9.9,0,9.3,0,1,1,9.6,0,0,9.8,0,0,0,0,0,Rome,1,1
innstation guesthouse,8.9,9.1,9.2,9.4,0,8.9,0,0,1,9.0,0,0,9.2,0,0,0,0,0,Rome,0,1
AT HOME NAVONA,9.2,9.9,9.3,8.9,0,9.5,0,1,1,9.1,0,0,9.3,0,0,0,0,0,Rome,1,1
Luxy Vatican Apartment,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,1,8.372735346358793,0,1,1,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,Rome,1,2
4BNB - Clodio Modern Apartment,8.6,8.8,8.8,9.5,0,8.4,0,0,1,9.1,0,1,8.8,0,0,0,0,0,Rome,1,1
Amici di Roma,7.5,8.8,9.4,7.5,0,6.9,0,0,1,7.5,0,0,7.5,0,0,0,0,0,Rome,0,1
Pink Intimate Jacuzzi Suite Trastevere - Top Collection,9.1,10.0,9.4,9.7,0,9.2,0,0,1,9.3,0,0,8.9,0,0,0,0,0,Rome,0,1
Amazing Trevi Fountain,8.9,9.6,9.1,8.8,1,8.8,0,0,0,8.9,0,0,8.6,0,0,0,0,0,Rome,0,1
Loft Rasella with Private Pool&Sauna,7.7,9.7,8.1,8.6,0,7.7,1,0,1,7.4,0,0,7.4,0,1,1,0,0,Rome,2,2
Morfeo Suite,8.6,9.1,8.5,8.9,0,8.4,0,0,1,8.9,0,0,8.7,0,0,0,0,1,Rome,1,1
Trastevere Modern Penthouse with Amazing Rooftop,8.390776053215099,9.204795737122536,8.653108348134985,8.980772646536419,0,8.372735346358793,0,0,0,8.330506216696257,0,0,8.686589698046161,0,0,0,0,0,Rome,0,0
Hostly - Nicole Apartment Volturno - Full Rome Center,9.0,10.0,10.0,10.0,0,10.0,0,0,1,10.0,0,0,10.0,0,0,1,0,0,Rome,0,2
Navona Rubens Lodge,8.4,9.8,8.5,8.7,0,8.0,0,0,1,8.5,0,0,8.5,0,0,0,0,1,Rome,1,1
Leutari Suite,8.9,9.9,9.0,9.5,0,9.0,0,1,1,8.8,0,0,9.0,0,0,0,0,1,Rome,2,1
iFlat Spacious Penthouse near the Vatican city,8.7,8.3,8.6,8.9,0,8.3,0,1,1,7.8,0,0,8.9,0,0,0,0,0,Rome,1,1
Marco's Apartment Colosseum,9.6,9.3,9.7,9.9,1,9.4,0,0,1,9.5,0,0,9.7,0,0,0,0,0,Rome,0,2
